,,0
listening,1311
lived,1312
living,1313
lords,1314
lots,1315
loved,1316
lure,1317
lying,1318
maimed,1319
making,1320
male,1321
market,1322
marriage,1323
master,1324
mats,1325
matthew,1326
meal,1327
mean,1328
meet,1329
member,1330
messiahs,1331
met,1332
midnight,1333
millstone,1334
mine,1335
mixed,1336
mock,1337
moment,1338
moon,1339
moored,1340
mortals,1341
mothers,1342
mourning,1343
mouth,1344
multitude,1345
mustard,1346
mute,1347
myrrh,1348
naked,1349
nard,1350
neck,1351
needle,1352
needs,1353
neighborhood,1354
nests,1355
nine,1356
noon,1357
notice,1358
noticed,1359
numbered,1360
numbering,1361
numbers,1362
nursing,1363
o,1364
oars,1365
oath,1366
oaths,1367
obey,1368
observe,1369
observing,1370
offense,1371
offered,1372
offering,1373
offerings,1374
officers,1375
oil,1376
omens,1377
oneself,1378
open,1379
openly,1380
orders,1381
ought,1382
ours,1383
out-beware,1384
overhearing,1385
overshadowed,1386
overturned,1387
palace,1388
paralytic-,1389
paralyzed,1390
parents,1391
partiality,1392
passer-by,1393
patch,1394
penny,1395
perceived,1396
performed,1397
perhaps,1398
perishing,1399
permission,1400
permit,1401
persecution,1402
persecutions-and,1403
peter);,1404
philip,1405
philippi,1406
philips,1407
physician,1408
physicians,1409
pick,1410
piece,1411
pit,1412
pity,1413
plainly,1414
planted,1415
pluck,1416
plunder,1417
plundered,1418
possessed,1419
possessions,1420
pots,1421
poverty,1422
prayers,1423
praying,1424
precepts,1425
pregnant,1426
preparation,1427
presence,1428
press,1429
pressing,1430
pride,1431
prisoner,1432
produces,1433
profit,1434
promised,1435
property,1436
prophesied,1437
prophesy,1438
protected,1439
provided,1440
pulls,1441
quenched,1442
quickly,1443
quiet,1444
ransom,1445
rather,1446
reader,1447
rebels,1448
rebuke,1449
received,1450
recognize,1451
recover,1452
reed,1453
refused,1454
regained,1455
regarded,1456
rejecting,1457
remain,1458
remember,1459
remembrance,1460
remove,1461
removed,1462
repeatedly,1463
repent,1464
reply,1465
requested,1466
respected,1467
restore,1468
restrained,1469
return,1470
